발매일,기획사,앨범id,앨범,평점,좋아요수,앨범 타입,가수
20190122,에르타알레,10244499,신청곡 (Feat. SUGA of BTS),4.3356831,15678,싱글,이소라
20190117,뉴런뮤직,10243480,초록빛,3.7581844,6231,싱글,폴킴
20190102,325 이엔씨,10238710,Circular,3.0735952,16345,정규,엠씨더맥스
20190102,MNH Entertainment,10238683,벌써 12시,4.2204923,12602,싱글,청하
20190113,"인디고뮤직, 딩고뮤직",10241866,Dingo X Indigo Music,2.9631735,7515,싱글,"Jvcki Wai, 영비 (Young B), Osshun Gum, 한요한"
20190121,플레디스엔터테인먼트,10244395,SEVENTEEN 6TH MINI ALBUM `YOU MADE MY DAWN`,4.1358271,20782,EP,세븐틴
20181207,메이저나인,10230497,180˚,2.8550604,10143,EP,벤
20181106,인디안레이블,10219644,신용재,2.0333767,2877,싱글,하은 (라코스테남)
20181213,SM ENTERTAINMENT,10232781,LOVE SHOT - The 5th Album Repackage,4.0977660,60726,정규,EXO
20181029,뉴런뮤직,10217134,너를 만나,3.4568297,10536,싱글,폴킴
20181129,센토엔터테인먼트,10227145,너도 그냥 날 놓아주면 돼,3.8985816,1586,싱글,윤건
20181112,(주)YG엔터테인먼트,10221424,SOLO,3.0050102,24048,싱글,제니 (JENNIE)
20181126,(주)YG엔터테인먼트,10226163,XX,3.6432489,30407,정규,MINO (송민호)
20181219,(주)YG엔터테인먼트,10234872,MILLIONS,4.3365430,24431,싱글,WINNER
20181102,SM ENTERTAINMENT,10218750,DON`T MESS UP MY TEMPO - The 5th Album,3.8665233,97503,정규,EXO
20180320,SM Entertainment,10149492,`키스 먼저 할까요?` OST Part.3,3.6618042,8920,OST,폴킴
20180824,빅히트엔터테인먼트,10197480,LOVE YOURSELF 結 `Answer`,3.7113193,100705,정규,방탄소년단
20180716,플레디스엔터테인먼트,10185387,SEVENTEEN 5TH MINI ALBUM `YOU MAKE MY DAY`,4.0117151,27147,EP,세븐틴
20181105,(주)JYP엔터테인먼트,10219298,YES or YES,3.0744672,23307,EP,TWICE (트와이스)
20181023,"뮤직앤뉴, 스튜디오앤뉴",10214874,뷰티 인사이드 OST Part.4,4.3122571,5836,OST,케이윌
20190114,쏘스뮤직,10242169,여자친구 The 2nd Album `Time for us`,3.8941044,11244,정규,여자친구 (GFRIEND)
20190123,영앤리치 레코즈,10244998,Heu ! (Full Ver.),4.3822351,3420,싱글,수퍼비
20160704,플레디스엔터테인먼트,2695228,Love&Letter Repackage Album,4.2779992,33495,정규,세븐틴
20180813,PLAYLIST,10194044,A-TEEN Part.3,4.1338910,23049,OST,세븐틴
20181112,큐브엔터테인먼트,10215293,HOUR MOMENT,4.3068404,39672,EP,비투비
20180913,모스트웍스,10203965,이별하러 가는 길,4.3538984,4160,싱글,임한별
20181128,플랜에이 엔터테인먼트,10226943,흔한 이별,3.8852490,2690,싱글,허각
20180518,빅히트엔터테인먼트,10168559,LOVE YOURSELF 轉 `Tear`,3.6879183,115893,정규,방탄소년단
20190107,플랜에이 엔터테인먼트,10239951,PERCENT,4.0109890,9467,EP,Apink (에이핑크)
20180918,메이저나인,10205439,가을 타나 봐,3.5250308,5017,싱글,바이브
20170213,빅히트 엔터테인먼트,10037969,YOU NEVER WALK ALONE,3.6919961,129220,정규,방탄소년단
20181119,"SWING Entertainment, Stone Music Entertainment",10223837,1¹¹=1 (POWER OF DESTINY),3.8769227,64567,정규,Wanna One (워너원)
20181010,(주) 카카오 M,10210535,삐삐,4.0513209,35012,싱글,아이유
20181015,브랜뉴뮤직,10212203,고백,3.5820663,5861,싱글,양다일
20180627,디씨톰엔터테인먼트,10179508,Take,1.3624772,14910,EP,숀 (SHAUN)
20190122,모스트웍스,10244754,사랑 이딴 거,4.2050060,1265,싱글,임한별
20181212,JTBC콘텐트허브,10231822,SKY 캐슬 OST Part.4,4.8840118,4015,OST,하진
20190123,로맨틱팩토리,10245013,눈송이,3.1508671,1241,싱글,"오반, 빈첸 (VINXEN)"
20181214,"스톤뮤직 엔터테인먼트, Studio blu",10233243,첫눈에,3.8704692,5456,싱글,헤이즈 (Heize)
20181104,"Republic Records, a Division of UMG Recordings, Inc.",10219179,"thank u, next",4.5680886,4688,싱글,Ariana Grande
20170918,빅히트 엔터테인먼트,10097112,LOVE YOURSELF 承 `Her`,3.6539048,143235,EP,방탄소년단
20181231,넥스타엔터테인먼트,10237420,그때가 좋았어,4.3398357,1480,싱글,케이시 (Kassy)
20180508,메이저나인,10164839,RECIPE,3.8797399,6719,정규,벤
20180919,엔에이취이엠쥐,10205805,하루도 그대를 사랑하지 않은 적이 없었다,3.9448848,11448,정규,임창정
20181006,Stone Music Entertainment,10209647,쇼미더머니 777 Episode 1,3.2228464,8517,옴니버스,"pH-1, Kid Milli, 루피(Loopy)"
20171226,SM Entertainment,10122917,"Universe - 겨울 스페셜 앨범, 2017",4.0591767,93920,EP,EXO
20180618,큐브엔터테인먼트,10175106,THIS IS US,4.2590621,43787,EP,비투비
20171016,큐브엔터테인먼트,10102658,Brother Act.,4.1493728,49397,정규,비투비
20190118,"GRANDLINE, Urbane Music",10243997,No Question,4.1955645,1834,싱글,"매드클라운, 스텔라장 (Stella Jang)"
20181220,리메즈,10235477,알았다면,1.3437235,1417,싱글,장덕철
20171031,닐로 컴퍼니,10106853,About You,0.9622420,7859,EP,닐로 (Nilo)
20181105,씨제스엔터테인먼트,10219296,별,4.5414102,2864,EP,노을
20181206,로맨틱팩토리,10229387,행복,2.6198080,2251,싱글,오반
20181029,"Stone Music Entertainment, OFF THE RECORD Entertainment",10217163,COLOR*IZ,3.2875686,20402,EP,IZ*ONE (아이즈원)
20190110,"iHQ, god",10241365,THEN & NOW,4.5961582,11965,정규,god
20180731,"인디고뮤직, 딩고뮤직",10189965,Dingo X Indigo Music,4.1715058,9884,싱글,"기리보이, Kid Milli, NO:EL, 스윙스"
20171229,브랜뉴뮤직,10123639,inside,4.5356668,10687,정규,양다일
20160621,뉴런뮤직,2692501,비,4.5173146,7367,싱글,폴킴
20170807,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",10085951,1X1=1(TO BE ONE),3.9282701,125394,EP,Wanna One (워너원)
20190101,디씨톰엔터테인먼트,10237804,안녕,1.4564933,2010,EP,숀 (SHAUN)
20190121,(주)하우엔터테인먼트,10244259,The Four Seasons,4.2388983,2786,정규,황치열
20180624,인디고뮤직,10178566,IM,3.7688655,7640,정규,"저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)"
20171113,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",10111029,1-1=0 (NOTHING WITHOUT YOU),3.9714959,96141,정규,Wanna One (워너원)
20170324,"(주) 카카오 M, ㈜페이브엔터테인먼트",10047890,밤편지,4.0620506,39770,싱글,아이유
20180615,(주)YG엔터테인먼트,10176415,SQUARE UP,3.6959750,36944,EP,BLACKPINK
20180319,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",10144723,0+1=1 (I PROMISE YOU),3.3352943,77151,EP,Wanna One (워너원)
20180912,냠냠엔터테인먼트,10203500,헤어지는 중,3.1532258,5113,싱글,펀치 (Punch)
20181008,AOMG,10210198,시간이 들겠지,4.0257246,6953,싱글,로꼬
20180904,㈜메이크어스엔터테인먼트,10200838,WARNING,3.7384779,11380,EP,선미
20171014,먼데이키즈 컴퍼니,10102177,가을 안부,4.5823145,6106,싱글,먼데이 키즈 (Monday Kiz)
20180918,Stone Music Entertainment,10205438,우리 그만하자,4.1733221,10059,싱글,로이킴
20180709,(주)JYP엔터테인먼트,10183127,Summer Nights,3.1034380,22661,EP,TWICE (트와이스)
20180604,"SWING Entertainment, Stone Music Entertainment",10173365,1÷χ=1 (UNDIVIDED),3.8493088,68376,EP,Wanna One (워너원)
20181001,(주)YG엔터테인먼트,10208358,NEW KIDS : THE FINAL,3.4965053,17778,EP,iKON
20110103,Universal Music,1123959,Greatest Hits (2011 Remaster),4.7998337,11939,재발매,Queen
20180212,"Stone Music Entertainment, MMO Entertainment",10137574,그때 헤어지면 돼,4.0726990,11778,싱글,로이킴
