랭킹,곡 id,곡명,가수,좋아요수,앨범id
1,31571110,신청곡 (Feat. SUGA of BTS),이소라,74445,10244499
2,31565593,초록빛,폴킴,49112,10243480
3,31532643,넘쳐흘러,엠씨더맥스,83728,10238710
4,31532438,벌써 12시,청하,79349,10238683
5,31554317,띵 (Prod. By 기리보이),"Jvcki Wai, 영비 (Young B), Osshun Gum, 한요한",54084,10241866
6,31570736,Home,세븐틴,37713,10244395
7,31477685,180도,벤,120948,10230497
8,31406357,신용재,하은 (라코스테남),83558,10219644
9,31492319,Love Shot,EXO,122465,10232781
10,31388145,너를 만나,폴킴,162431,10217134
11,31455159,너도 그냥 날 놓아주면 돼,윤건,45155,10227145
12,31417871,SOLO,제니 (JENNIE),160838,10221424
13,31448480,아낙네,MINO (송민호),142869,10226163
14,31570735,Good to Me,세븐틴,24277,10244395
15,31506637,MILLIONS,WINNER,103584,10234872
16,31570740,숨이 차,세븐틴,22450,10244395
17,31570737,포옹,세븐틴,23106,10244395
18,31399721,Tempo,EXO,168265,10218750
19,31570738,칠리,세븐틴,21484,10244395
20,30962526,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,236382,10149492
21,31570739,Shhh,세븐틴,21145,10244395
22,31266290,IDOL,방탄소년단,215987,10197480
23,31189085,어쩌나,세븐틴,74301,10185387
24,31403163,YES or YES,TWICE (트와이스),116758,10219298
25,31373277,내 생에 아름다운,케이윌,92259,10214874
26,31556500,해야 (Sunrise),여자친구 (GFRIEND),32356,10242169
27,31575356,Heu ! (Full Ver.),수퍼비,12976,10244998
28,8252573,아주 NICE,세븐틴,90756,2695228
29,31244486,A-TEEN,세븐틴,85224,10194044
30,31417922,아름답고도 아프구나,비투비,122191,10215293
31,31304766,이별하러 가는 길,임한별,72491,10203965
32,31453551,흔한 이별,허각,38750,10226943
33,31085237,FAKE LOVE,방탄소년단,269863,10168559
34,31542508,%%(응응),Apink (에이핑크),27092,10239951
35,31314144,가을 타나 봐,바이브,113352,10205439
36,30244931,봄날,방탄소년단,379173,10037969
37,31492321,트라우마 (Trauma),EXO,67327,10232781
38,31433084,봄바람,Wanna One (워너원),126081,10223837
39,31266289,I`m Fine,방탄소년단,158822,10197480
40,31492322,Wait,EXO,68187,10232781
41,31346009,삐삐,아이유,205127,10210535
42,31356458,고백,양다일,99195,10212203
43,31151836,Way Back Home,숀 (SHAUN),250675,10179508
44,31399726,Gravity,EXO,96048,10218750
45,31266282,Euphoria,방탄소년단,152475,10197480
46,31573334,사랑 이딴 거,임한별,6210,10244754
47,31486544,We all lie,하진,47485,10231822
48,31399725,닿은 순간 (Ooh La La La),EXO,93401,10218750
49,31575470,눈송이,"오반, 빈첸 (VINXEN)",4380,10245013
50,31495659,첫눈에,헤이즈 (Heize),51483,10233243
51,31402611,"thank u, next",Ariana Grande,84799,10219179
52,31266291,Answer : Love Myself,방탄소년단,132731,10197480
53,30637982,DNA,방탄소년단,335791,10097112
54,31399728,24/7,EXO,92084,10218750
55,31399724,Sign,EXO,90178,10218750
56,31524320,그때가 좋았어,케이시 (Kassy),20981,10237420
57,31399731,여기 있을게 (Smile On My Face),EXO,87208,10218750
58,31062863,열애중,벤,149396,10164839
59,31399730,Damage,EXO,83744,10218750
60,31399727,가끔 (With You),EXO,84933,10218750
61,31532642,사계 (하루살이),엠씨더맥스,22968,10238710
62,31399722,오아시스 (Oasis),EXO,86738,10218750
63,31399729,후폭풍 (Bad Dream),EXO,83628,10218750
64,31316695,하루도 그대를 사랑하지 않은 적이 없었다,임창정,136658,10205805
65,31085238,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,192582,10168559
66,31340985,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1, Kid Milli, 루피(Loopy)",121344,10209647
67,31266288,Epiphany,방탄소년단,121019,10197480
68,30806536,Universe,EXO,186028,10122917
69,31133898,너 없인 안 된다,비투비,150942,10175106
70,30672529,그리워하다,비투비,219529,10102658
71,31568442,No Question,"매드클라운, 스텔라장 (Stella Jang)",14677,10243997
72,31510409,알았다면,장덕철,22307,10235477
73,30699142,지나오다,닐로 (Nilo),192851,10106853
74,31403156,너는 어땠을까,노을,39183,10219296
75,31085244,Anpanman,방탄소년단,149881,10168559
76,31470006,행복,오반,46035,10229387
77,31388213,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),80450,10217163
78,31266286,Trivia 轉 : Seesaw,방탄소년단,115629,10197480
79,31551385,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,25786,10241365
80,31219546,flex (Prod. By 기리보이),"기리보이, Kid Milli, NO:EL, 스윙스",108161,10189965
81,30809895,미안해,양다일,143139,10123639
82,8235260,비,폴킴,184666,2692501
83,30568338,에너제틱 (Energetic),Wanna One (워너원),286826,10085951
84,31526249,습관 (Bad Habits),숀 (SHAUN),19679,10237804
85,31569905,이별을 걷다 (A Walk To Goodbye),황치열,7026,10244259
86,31144690,IndiGO,"저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)",90553,10178566
87,30725482,Beautiful,Wanna One (워너원),235253,10111029
88,30314784,밤편지,아이유,304901,10047890
89,31131273,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,203262,10176415
90,30960341,BOOMERANG (부메랑),Wanna One (워너원),144311,10144723
91,31302310,헤어지는 중,펀치 (Punch),98912,10203500
92,31344113,시간이 들겠지 (Feat. Colde),로꼬,97269,10210198
93,31286161,사이렌 (Siren),선미,110638,10200838
94,30669593,가을 안부,먼데이 키즈 (Monday Kiz),126819,10102177
95,31314142,우리 그만하자,로이킴,122336,10205438
96,31175119,Dance The Night Away,TWICE (트와이스),139151,10183127
97,31113240,켜줘 (Light),Wanna One (워너원),133521,10173365
98,31331745,이별길 (GOODBYE ROAD),iKON,84869,10208358
99,3087601,Bohemian Rhapsody (2011 Remaster),Queen,89780,1123959
100,30884950,그때 헤어지면 돼,로이킴,192377,10137574
